S/O,Date,Customer,Item,Specific Item,Quantity,Packaging,Price,Outstanding Quantity,Outstanding Weight Left,Outstanding/MT,Dealt Quantity,Dealt Quantity/ton,Price: USD/tonne,Last Updated,COUNTRY
S/O2110-029,7/7/22,LEGIN MARKETING SERVICES PTE LTD,TOL ACC,TOLUENE ASTM RF GRADE,1,180-DR,"1,500.00/180-DR",1,180,0.18,180,0.18,,11/11/24,
S/O2304-188,15/7/23,LEGIN MARKETING SERVICES PTE LTD,OCTANE-80,OCTANE-80-BLEND,1,140-DR,"1,500.00/140-DR",1,140,0.14,140,0.14,,11/11/24,
S/O2309-209,30/10/24,LEO LOGISTICS PRIVATE LIMITED,ISOOCTANE,ISO-OCTANE ASTM,20,140-DR,"1,430.00/140-DR",6,840,0.84,2800,2.8,,11/11/24,
S/O2312-088,3/7/24,LEA TAT CHEMICALS PTE LTD,DAA,DIACETONE ALCOHOL,40,190-DR,2.20/KG,22,4180,4.18,7600,7.6,,11/11/24,
S/O2401-160,22/4/24,VANCE CHEMICALS PTE LTD,ALIPAX D80E,ALIPAX D80,24,160-DR,2.02/KG,16,2560,2.56,3840,3.84,,11/11/24,
S/O2401-256,18/10/24,LEO LOGISTICS PRIVATE LIMITED,OCTANE-80,OCTANE-80-BLEND,10,140-DR,"1,500.00/140-DR",2,280,0.28,1400,1.4,,11/11/24,
S/O2402-104,4/3/24,NEWEDGE CHEM (S) PTE. LTD.,IPA,ISOPROPYL ALCOHOL,60,162-DR,1.33/KG,30,4860,4.86,9720,9.72,1220,11/11/24,
S/O2403-104,30/10/24,LEO LOGISTICS PRIVATE LIMITED,ISOOCTANE,ISO-OCTANE ASTM,11,140-DR,"1,500.00/140-DR",11,1540,1.54,1540,1.54,,11/11/24,
S/O2403-104,30/10/24,LEO LOGISTICS PRIVATE LIMITED,OCTANE-80,OCTANE-80-BLEND,3,140-DR,"1,500.00/140-DR",2,280,0.28,420,0.42,,11/11/24,
S/O2403-104,30/10/24,LEO LOGISTICS PRIVATE LIMITED,HEP ASTM,N-HEPTANE ASTM,1,139-DR,"1,500.00/139-DR",1,139,0.139,139,0.139,,11/11/24,
S/O2403-104,30/10/24,LEO LOGISTICS PRIVATE LIMITED,TOL ACC,TOLUENE ASTM RF GRADE ,3,180-DR,"1,500.00/180-DR",1,180,0.18,540,0.54,,11/11/24,
S/O2403-106,17/9/24,CHUGOKU MARINE PAINTS (S) P/L,ADDPLUS,ADDPLUS GRINDING RESIN,24,200-DR,25.40/KG,24,4800,4.8,4800,4.8,,11/11/24,
S/O2403-106,17/9/24,CHUGOKU MARINE PAINTS (S) P/L,ADDPLUS SDF,ADDPLUS SDF-1000S,96,20-PL,63.00/KG,36,36,0.036,96,0.096,,11/11/24,
S/O2404-174,13/9/24,NEWEDGE CHEM (S) PTE. LTD.,TOL,TOLUENE (BULK),82,179-DR,1.10/KG,56,10024,10.024,14678,14.678,,11/11/24,
S/O2404-174,13/9/24,NEWEDGE CHEM (S) PTE. LTD.,TOL,TOLUENE,1,179-DR,-/KG,1,179,0.179,179,0.179,,11/11/24,
S/O2404-174,13/9/24,NEWEDGE CHEM (S) PTE. LTD.,EAC,ETHYL ACETATE(BULK),532,180-DR,0.90/KG,278,50040,50.04,95760,95.76,900,11/11/24,
S/O2404-174,13/9/24,NEWEDGE CHEM (S) PTE. LTD.,EAC,ETHYL ACETATE,1,180-DR,-/KG,1,180,0.18,180,0.18,900,11/11/24,
S/O2404-174,13/9/24,NEWEDGE CHEM (S) PTE. LTD.,METHANOL,METHANOL(BULK),290,163-DR,0.39/KG,164,26732,26.732,47270,47.27,,11/11/24,
S/O2404-174,13/9/24,NEWEDGE CHEM (S) PTE. LTD.,METHANOL,METHANOL,1,163-DR,-/KG,1,163,0.163,163,0.163,,11/11/24,
S/O2404-193,29/4/24,PPG COATINGS (SINGAPORE) PTE LTD,S THINNER 9053(5LTR),S THINNER 9053(5LTR),120,TIN-5L,11.58/TIN-5L,120,120,0.12,120,0.12,,11/11/24,
S/O2404-193,29/4/24,PPG COATINGS (SINGAPORE) PTE LTD,PM,PM,218.184,0,0,0,218,0.218,218.184,0.218184,,11/11/24,
S/O2404-193,29/4/24,PPG COATINGS (SINGAPORE) PTE LTD,XYLENE,XYLENE,308.592,0,0,0,309,0.309,308.592,0.308592,1270,11/11/24,
S/O2405-167,1/11/24,SEGACHEM PTE. LTD,BAC,N-BUTYL ACETATE,3,180-DR,2.30/KG,3,540,0.54,540,0.54,,11/11/24,
S/O2405-167,1/11/24,SEGACHEM PTE. LTD,MIBK,METHYL ISOBUTYL KETONE,2,165-DR,3.20/KG,1,165,0.165,330,0.33,2218,11/11/24,
S/O2405-171,24/5/24,VANCE CHEMICALS PTE LTD,P.150,AROMAX 150,4,184-DR,1.71/KG,4,736,0.736,736,0.736,1169,11/11/24,
S/O2406-175,1/11/24,TRASCO COATING PTE LTD,TRASCO,LACQUER THINNER,80,161-DR,285.00/161-DR,0,0,0,12880,12.88,,4-Nov,
S/O2406-175,1/11/24,TRASCO COATING PTE LTD,XYLENE,XYLENE,4560,0,0,0,0,0,4560,4.56,1130,4-Nov,
S/O2406-175,1/11/24,TRASCO COATING PTE LTD,IPA,ISOPROPYL ALCOHOL,4160,0,0,0,0,0,4160,4.16,,4-Nov,
S/O2406-175,1/11/24,TRASCO COATING PTE LTD,ACETONE,ACETONE,4160,0,0,0,0,0,4160,4.16,1160,4-Nov,
S/O2407-003,30/9/24,WHITFORD PTE LTD,BG,BUTYL GLYCOL,40,185-DR,2.35/KG,0,0,0,7400,7.4,,4-Nov,
S/O2407-014,28/10/24,TOYO INK PTE LTD,BG,BUTYL GLYCOL,5,185-DR,2.31/KG,5,925,0.925,925,0.925,,11/11/24,
S/O2407-061,30/10/24,TECK LEONG KOON KEE,THINNER GG,THINNER GG/903,160,18 LT,29.50/18 LT,28,504,0.504,2880,2.88,,11/11/24,
S/O2407-061,30/10/24,TECK LEONG KOON KEE,TOL,TOLUENE,800,0,0,0,140,0.14,800,0.8,,11/11/24,
S/O2407-061,30/10/24,TECK LEONG KOON KEE,MIBK,METHYL ISOBUTYL KETONE,334.4,0,0,0,59,0.059,334.4,0.3344,,11/11/24,
S/O2407-061,30/10/24,TECK LEONG KOON KEE,XYLENE,XYLENE,800.96,0,0,0,140,0.14,800.96,0.80096,,11/11/24,
S/O2407-061,30/10/24,TECK LEONG KOON KEE,DAA,DIACETONE ALCOHOL,166.24,0,0,0,29,0.029,166.24,0.16624,,11/11/24,
S/O2407-061,30/10/24,TECK LEONG KOON KEE,BG,BUTYL GLYCOL,218.56,0,0,0,38,0.038,218.56,0.21856,,11/11/24,
S/O2407-092,1/11/24,CHEMLEX (F.E.) PTE LTD,IPA,ISOPROPYL ALCOHOL (NEW DRUM),32,162-DR,1.95/KG,7,1134,1.134,5184,5.184,1300,11/11/24,
S/O2407-116,7/10/24,UNIKLEEN CHEM (S) PTE LTD,ETHANOL 95%+IPA 5%,ETHANOL 95 % + IPA 5%,20,166-DR,2.60/KG,8,1328,1.328,3320,3.32,,11/11/24,
S/O2407-165,3/10/24,LEO LOGISTICS PRIVATE LIMITED,ISOOCTANE,ISO-OCTANE ASTM,13,140-DR,"1,500.00/140-DR",13,1820,1.82,1820,1.82,,11/11/24,
S/O2407-165,3/10/24,LEO LOGISTICS PRIVATE LIMITED,OCTANE-80,OCTANE-80-BLEND,7,140-DR,"1,500.00/140-DR",7,980,0.98,980,0.98,,11/11/24,
S/O2407-165,3/10/24,LEO LOGISTICS PRIVATE LIMITED,HEP ASTM,N-HEPTANE ASTM,2,139-DR,"1,500.00/139-DR",2,278,0.278,278,0.278,,11/11/24,
S/O2407-165,3/10/24,LEO LOGISTICS PRIVATE LIMITED,TOL ACC,TOLUENE ASTM RF GRADE,4,180-DR,"1,500.00/180-DR",4,720,0.72,720,0.72,,11/11/24,
S/O2407-167,19/7/24,LEGIN MARKETING SERVICES PTE LTD,ISOOCTANE,ISO-OCTANE ASTM,1,140-DR,"1,650.00/140-DR",1,140,0.14,140,0.14,,11/11/24,
S/O2407-235,1/11/24,SEGACHEM PTE. LTD,MIBK,METHYL ISOBUTYL KETONE,1,165-DR,3.20/KG,1,165,0.165,165,0.165,,11/11/24,
S/O2407-235,1/11/24,SEGACHEM PTE. LTD,BAC,N-BUTYL ACETATE,2,180-DR,2.30/KG,2,360,0.36,360,0.36,,11/11/24,
S/O2408-035,12/9/24,MAUSER SINGAPORE PTE LTD,MEK,METHYL ETHYL KETONE,24,165-DR,1.87/KG,16,2640,2.64,3960,3.96,1274,11/11/24,
S/O2408-061,4/10/24,LEO LOGISTICS PRIVATE LIMITED,ISOOCTANE,ISO-OCTANE ASTM,6,140-DR,"1,300.00/140-DR",6,840,0.84,840,0.84,,11/11/24,
S/O2408-061,4/10/24,LEO LOGISTICS PRIVATE LIMITED,OCTANE-80,OCTANE-80-BLEND,3,140-DR,"1,300.00/140-DR",3,420,0.42,420,0.42,,11/11/24,
S/O2408-061,4/10/24,LEO LOGISTICS PRIVATE LIMITED,HEP ASTM,N-HEPTANE ASTM,1,139-DR,"1,300.00/139-DR",1,139,0.139,139,0.139,,11/11/24,
S/O2408-061,4/10/24,LEO LOGISTICS PRIVATE LIMITED,TOL ACC,TOLUENE ASTM RF GRADE,3,180-DR,"1,300.00/180-DR",3,540,0.54,540,0.54,,11/11/24,
S/O2408-104,1/11/24,TRASCO COATING PTE LTD,TRASCO B,ICT THINNER,60,169-DR,335.00/169-DR,40,6760,6.76,10140,10.14,,11/11/24,
S/O2408-104,1/11/24,TRASCO COATING PTE LTD,BG,BUTYL GLYCOL,2712,0,0,0,1808,1.808,2712,2.712,,11/11/24,
S/O2408-104,1/11/24,TRASCO COATING PTE LTD,DAA,DIACETONE ALCOHOL,2712,0,0,0,1808,1.808,2712,2.712,,11/11/24,
S/O2408-104,1/11/24,TRASCO COATING PTE LTD,ACETONE,ACETONE,2358,0,0,0,1572,1.572,2358,2.358,,11/11/24,
S/O2408-104,1/11/24,TRASCO COATING PTE LTD,MEK,METHYL ETHYL KETONE,2358,0,0,0,1572,1.572,2358,2.358,,11/11/24,
S/O2408-105,1/11/24,UNILITE CHEMICALS PTE LTD,ACETONE,ACETONE,7,160-DR,1.74/KG,5,800,0.8,1120,1.12,1194,11/11/24,
S/O2408-121,26/9/24,THE VALSPAR (S) CORP. PTE LTD,XYLENE,XYLENE (BULK),"9,730",KG,1.08/KG,"1,620","1,620",1.62,"9,730",9.73,1080,11/11/24,
S/O2408-122,16/8/24,THE VALSPAR (S) CORP. PTE LTD,XYLENE,XYLENE,"20,000",KG,1.08/KG,"20,000","20,000",20,"20,000",20,1080,11/11/24,
S/O2408-172,16/10/24,TOYO INK PTE LTD,MEK,METHYL ETHYL KETONE,5,825KG-IBC,1.64/KG,5,4125,4.125,4125,4.125,1233,11/11/24,
S/O2408-189,28/8/24,TECK LEONG KOON KEE,THINNER GG,THINNER GG/903,160,18 LT,-/18 LT,160,2880,2.88,2880,2.88,,11/11/24,
S/O2408-189,28/8/24,TECK LEONG KOON KEE,TOL,TOLUENE,800,0,0,0,800,0.8,800,0.8,,11/11/24,
S/O2408-189,28/8/24,TECK LEONG KOON KEE,MIBK,METHYL ISOBUTYL KETONE,334.4,0,0,0,334,0.334,334.4,0.3344,,11/11/24,
S/O2408-189,28/8/24,TECK LEONG KOON KEE,XYLENE,XYLENE,800.96,0,0,0,801,0.801,800.96,0.80096,,11/11/24,
S/O2408-189,28/8/24,TECK LEONG KOON KEE,DAA,DIACETONE ALCOHOL,166.24,0,0,0,166,0.166,166.24,0.16624,,11/11/24,
S/O2408-189,28/8/24,TECK LEONG KOON KEE,BG,BUTYL GLYCOL,218.56,0,0,0,219,0.219,218.56,0.21856,,11/11/24,
S/O2408-217,18/9/24,PPG COATINGS (SINGAPORE) PTE LTD,P.3040,THINNER 20-05,120,5 LTR,8.86/5 LTR,120,462,0.462,462,0.462,1050,11/11/24,
S/O2408-218,23/10/24,PPG COATINGS (SINGAPORE) PTE LTD,P.3040,THINNER 20-05,"1,440",20 LTR,31.61/20 LTR,0,0,0,22176,22.176,1050,11-Nov,
S/O2408-219,21/9/24,PPG COATINGS (SINGAPORE) PTE LTD,XYLENE,THINNER 21-06,240,5 LTR,9.87/5 LTR,240,1032,1.032,1032,1.032,1130,11/11/24,
S/O2408-221,30/8/24,PPG COATINGS (SINGAPORE) PTE LTD,S THINNER 9053(5LTR),S THINNER 9053(5LTR),120,TIN-5L,10.67/TIN-5L,120,120,0.12,120,0.12,,11/11/24,
S/O2408-221,30/8/24,PPG COATINGS (SINGAPORE) PTE LTD,PM,PM,218.184,0,0,0,218,0.218,218.184,0.218184,,11/11/24,
S/O2408-221,30/8/24,PPG COATINGS (SINGAPORE) PTE LTD,XYLENE,XYLENE,308.592,0,0,0,309,0.309,308.592,0.308592,1130,11/11/24,
S/O2408-222,30/10/24,PPG COATINGS (SINGAPORE) PTE LTD,THINNER 90-53(20LTR),S THINNER 90-53,128,20LTR,38.83/20LTR,96,1920,1.92,2560,2.56,,11/11/24,
S/O2408-222,30/10/24,PPG COATINGS (SINGAPORE) PTE LTD,PM,PROPYLENE GLYCOL MONOMETHYL ETHER (PM),930.9184,0,0,0,698,0.698,930.9184,0.9309184,,11/11/24,
S/O2408-222,30/10/24,PPG COATINGS (SINGAPORE) PTE LTD,XYLENE,XYLENE,1316.6592,0,0,0,987,0.987,1316.6592,1.3166592,1130,11/11/24,
S/O2408-223,30/8/24,PPG COATINGS (SINGAPORE) PTE LTD,THINNER 91-92,S THINNER 91-92 (5LT TIN),"1,080",5L-TIN,9.95/5L-TIN,"1,080",1080,1.08,1080,1.08,,11/11/24,
S/O2408-223,30/8/24,PPG COATINGS (SINGAPORE) PTE LTD,ISOBUTANOL,ISO-BUTANOL,1024.7472,0,0,0,1025,1.025,1024.7472,1.0247472,,11/11/24,
S/O2408-223,30/8/24,PPG COATINGS (SINGAPORE) PTE LTD,XYLENE,XYLENE,3517.9488,0,0,0,3518,3.518,3517.9488,3.5179488,1130,11/11/24,
S/O2408-224,30/10/24,PPG COATINGS (SINGAPORE) PTE LTD,THINNER 91-92 (20LT),THINNER 91-92 (20LT TIN),"5,760",20-LTR,35.96/20-LTR,0,0,0,115200,115.2,,4-Nov,
S/O2408-224,30/10/24,PPG COATINGS (SINGAPORE) PTE LTD,ISOBUTANOL,ISO-BUTANOL,21861.2736,0,0,0,0,0,21861.2736,21.8612736,,4-Nov,
S/O2408-224,30/10/24,PPG COATINGS (SINGAPORE) PTE LTD,XYLENE,XYLENE,75049.5744,0,0,0,0,0,75049.5744,75.0495744,1130,4-Nov,
S/O2408-228,13/9/24,NEWEDGE CHEM (S) PTE. LTD.,XYLENE,XYLENE (BULK),111,179-DR,1.06/KG,83,14857,14.857,19869,19.869,,11/11/24,
S/O2408-228,13/9/24,NEWEDGE CHEM (S) PTE. LTD.,EAC,ETHYL ACETATE (BULK),54,180-DR,0.85/KG,54,9720,9.72,9720,9.72,850,11/11/24,
S/O2408-228,13/9/24,NEWEDGE CHEM (S) PTE. LTD.,BG,BUTYL GLYCOL (BULK),15,185-DR,1.60/KG,10,1850,1.85,2775,2.775,,11/11/24,
S/O2408-228,13/9/24,NEWEDGE CHEM (S) PTE. LTD.,BG,BUTYL GLYCOL,5,185-DR,-/KG,5,925,0.925,925,0.925,,11/11/24,
S/O2409-009,9/10/24,GRAMOND PTE. LTD.,ISOPAR L,ISOPARAFFIN L,16,156-DR,2.50/KG,6,936,0.936,2496,2.496,,11/11/24,
S/O2409-052,1/11/24,CHUGOKU MARINE PAINTS (S) P/L,XYLENE,XYLENE,"9,570",KG,1.36/KG,0,0,0,"9,570",9.57,1022,4-Nov,
S/O2409-057,4/11/24,JACKWAY CONVERTOR IND. PTE LTD,MEK,METHYL ETHYL KETONE,800,0,0,0,0,0,800,0.8,,4-Nov,
S/O2409-057,4/11/24,JACKWAY CONVERTOR IND. PTE LTD,THINNER-532(JW)(IBC),OPP 532 - IBC on loan,5,800KG-IBC,1.35/KG,0,0,0,4000,4,,4-Nov,
S/O2409-057,4/11/24,JACKWAY CONVERTOR IND. PTE LTD,TOL,TOLUENE,2000,0,0,0,0,0,2000,2,,4-Nov,
S/O2409-057,4/11/24,JACKWAY CONVERTOR IND. PTE LTD,EAC,ETHYL ACETATE,1200,0,0,0,0,0,1200,1.2,,4-Nov,
S/O2409-062,1/10/24,VANCE CHEMICALS PTE LTD,P1425,ALIPAX 1425,12,143-DR,1.64/KG,4,572,0.572,1716,1.716,,11/11/24,
S/O2409-069,5/9/24,VANCE CHEMICALS PTE LTD,IPA,ISOPROPYL ALCOHOL,6,162-DR,1.81/KG,6,972,0.972,972,0.972,1248,11/11/24,
S/O2409-070,5/9/24,VANCE CHEMICALS PTE LTD,P1425,ALIPAX 1425,2,143-DR,1.66/KG,2,286,0.286,286,0.286,,11/11/24,
S/O2409-117,22/10/24,BEST CHEMICAL CO (S) PTE LTD,IPA,ISOPROPYL ALCOHOL (BULK),10,776KG-IBC,1.60/KG,4,3104,3.104,7760,7.76,1203,11/11/24,
S/O2409-161,6/11/24,FUJIFILM ASIA PACIFIC PTE. LTD.,BG,BUTYL GLYCOL (Y5RB0013),100,185-DR,2.05/KG,0,0,0,18500,18.5,,4-Nov,
S/O2409-167,28/10/24,SAURER COMPONENTS PTE LTD,METHANOL,METHANOL,6,163-DR,180.00/163-DR,4,652,0.652,978,0.978,,11/11/24,
S/O2409-173,25/10/24,RCI LABSCAN LIMITED,PENTANE 95,N-PENTANE 95 %,4,122-DR,6.20/KG,0,0,0,488,0.488,,4-Nov,
S/O2409-173,25/10/24,RCI LABSCAN LIMITED,ISO-OCTANE 99.75,ISO-OCTANE 99.75%,36,140-DR,6.89/KG,0,0,0,5040,5.04,,4-Nov,
S/O2409-173,25/10/24,RCI LABSCAN LIMITED,PETR 40/60,PETROLEUM ETHER 40/60,40,131-DR,3.47/KG,0,0,0,5240,5.24,,4-Nov,
S/O2409-174,18/9/24,RCI LABSCAN LIMITED,ISO-OCTANE 99.75,ISO-OCTANE 99.75%,40,140-DR,6.89/KG,40,5600,5.6,5600,5.6,,11/11/24,
S/O2409-174,18/9/24,RCI LABSCAN LIMITED,PETR 40/60,PETROLEUM ETHER 40/60,40,131-DR,3.47/KG,40,5240,5.24,5240,5.24,,11/11/24,
S/O2409-183,1/11/24,TRASCO COATING PTE LTD,TRASCO,LACQUER THINNER,80,161-DR,259.00/161-DR,80,12880,12.88,12880,12.88,,11/11/24,
S/O2409-183,1/11/24,TRASCO COATING PTE LTD,XYLENE,XYLENE,4560,0,0,0,4560,4.56,4560,4.56,,11/11/24,
S/O2409-183,1/11/24,TRASCO COATING PTE LTD,IPA,ISOPROPYL ALCOHOL,4160,0,0,0,4160,4.16,4160,4.16,,11/11/24,
S/O2409-183,1/11/24,TRASCO COATING PTE LTD,ACETONE,ACETONE,4160,0,0,0,4160,4.16,4160,4.16,1100,11/11/24,
S/O2409-184,18/9/24,TRASCO COATING PTE LTD,TRASCO B,ICT THINNER,60,169-DR,316.00/169-DR,60,10140,10.14,10140,10.14,,11/11/24,
S/O2409-184,18/9/24,TRASCO COATING PTE LTD,BG,BUTYL GLYCOL,2712,0,0,0,2712,2.712,2712,2.712,,11/11/24,
S/O2409-184,18/9/24,TRASCO COATING PTE LTD,DAA,DIACETONE ALCOHOL,2712,0,0,0,2712,2.712,2712,2.712,,11/11/24,
S/O2409-184,18/9/24,TRASCO COATING PTE LTD,ACETONE,ACETONE,2358,0,0,0,2358,2.358,2358,2.358,1100,11/11/24,
S/O2409-184,18/9/24,TRASCO COATING PTE LTD,MEK,METHYL ETHYL KETONE,2358,0,0,0,2358,2.358,2358,2.358,,11/11/24,
S/O2409-185,25/10/24,DOVECHEM PACKAGING PTE LTD,MEK,METHYL ETHYL KETONE,2,165-DR,1.90/KG,2,330,0.33,330,0.33,1278,11/11/24,
S/O2409-200,1/11/24,CHEMLEX (F.E.) PTE LTD,ETHANOL 95%+IPA 5%,ETHANOL 95 % + IPA 5%,30,166-DR,2.29/KG,0,0,0,4980,4.98,,4-Nov,
S/O2409-212,1/11/24,LEA TAT CHEMICALS PTE LTD,EAC,ETHYL ACETATE (BULK),300,180-DR,0.83/KG,0,0,0,54000,54,830,4-Nov,
S/O2409-226,25/10/24,LEA TAT CHEMICALS PTE LTD,ACETONE,ACETONE (BULK),200,160-DR,0.935/KG,194,31040,31.04,32000,32,935,11/11/24,
S/O2409-244,26/9/24,SEGACHEM PTE. LTD,MIBK,METHYL ISOBUTYL KETONE,2,165-DR,528.00/DRUMS,2,330,0.33,330,0.33,2338,11/11/24,
S/O2409-244,26/9/24,SEGACHEM PTE. LTD,BAC,N-BUTYL ACETATE,4,180-DR,414.00/DRUMS,4,720,0.72,720,0.72,,11/11/24,
S/O2409-248,1/11/24,LEA TAT CHEMICALS PTE LTD,EAC,ETHYL ACETATE - Customer drum ,300,180-DR,0.83/KG,300,54000,54,54000,54,830,11/11/24,
S/O2409-252,27/9/24,LEA TAT CHEMICALS PTE LTD,MEK,METHYL ETHYL KETONE - Customer Drum,50,165-DR,1.17/KG,0,0,0,8250,8.25,,4-Nov,
S/O2409-258,30/9/24,HILDITCH PTY. LTD.,TOL,TOLUENE,80,179-DR,"1,220.00/MT",80,14320,14.32,14320,14.32,930,11/11/24,AUS/NZ
S/O2410-003,1/11/24,SAKATA INX (BANGLADESH) PRIVATE LIMITED,TOL,TOLUENE,"19,580",KG,"1,045.00/MT",0,0,0,"19,580",19.58,900,4-Nov,BANGLA
S/O2410-020,2/10/24,WAML GROUP (PVT) LTD,NPAC,N-PROPYL ACETATE,132,180-DR,"1,200.00/MT",132,23760,23.76,23760,23.76,,11/11/24,
S/O2410-026,25/10/24,SUPERIOR MULTI-PACKAGING LIMITED,METHANOL,METHANOL (BULK),1,815KG-IBC,0.40/KG,1,815,0.815,815,0.815,,11/11/24,
S/O2410-027,2/10/24,LEA TAT CHEMICALS PTE LTD,PRO BH,PROP BH (BULK),"18,000",KG,0.935/KG,"18,000","18,000",18,"18,000",18,,11/11/24,
S/O2410-027,2/10/24,LEA TAT CHEMICALS PTE LTD,EAC,ETHYL ACETATE (BULK),300,180-DR,0.83/KG,300,54000,54,54000,54,830,11/11/24,
S/O2410-028,5/11/24,LEA TAT CHEMICALS PTE LTD,TOL,TOLUENE (BULK),300,179-DR,0.90/KG,250,44750,44.75,53700,53.7,900,11/11/24,
S/O2410-030,25/10/24,GREIF EASTERN PACKAGING PTE LTD,XYLENE,XYLENE,80,179-DR,1.38/KG,40,7160,7.16,14320,14.32,961,11/11/24,
S/O2410-037,3/10/24,GROUP OF MERCHANT CHEMICAL,ACETONE,ACETONE,280,160-DR,"1,170.00/MT",280,44800,44.8,44800,44.8,918,11/11/24,BANGLA
S/O2410-038,24/10/24,TIPPS PTE LTD,TOL,TOLUENE (BULK-IBC ON LOAN),4,895KG-IBC,1.18/KG,0,0,0,3580,3.58,908,4-Nov,
S/O2410-043,3/10/24,THE VALSPAR (S) CORP. PTE LTD,TOL,TOLUENE (BULK),"20,000",KG,0.90/KG,"20,000","20,000",20,"20,000",20,900,11/11/24,
S/O2410-044,3/10/24,THE VALSPAR (S) CORP. PTE LTD,TOL,TOLUENE (BULK),"20,000",KG,0.90/KG,"20,000","20,000",20,"20,000",20,900,11/11/24,
S/O2410-047,3/10/24,"MITSUBISHI MOTORS (THAILAND) CO., LTD.",CECRF0603,CEC-RF-06-03 EURO 4 DIESEL,1,170DR,11.50/KG,1,170,0.17,170,0.17,,11/11/24,
