S/O,Date,Customer,Item,Specific Item,Quantity,Packaging,Price,Outstanding Quantity,Outstanding Weight Left,Outstanding/MT,Dealt Quantity,Dealt Quantity/ton,Price: USD/tonne,Last Updated,COUNTRY
S/O2410-224,29/10/24,RECOCHEM INC,PMA,PROPYLENE GLYCOL MONOMETHYL ETHER ACETATE (PMA)-METHOXY PROPYL ACETATE (16760-200RECW),8,200-DR,"1,490.00/MT",8,1600,1.6,1600,1.6,,11/11/24,
S/O2410-224,29/10/24,RECOCHEM INC,EAC,ETHYL ACETATE (16756-200RECW),8,180-DR,"1,180.00/MT",8,1440,1.44,1440,1.44,,11/11/24,
S/O2410-225,7/11/24,SENG FONG PAINTS PTE LTD,XYLENE,XYLENE (BULK-IBC ON LOAN),4,895KG-IBC,1.24/KG,0,0,0,3580,3.58,920,4-Nov,
S/O2410-226,4/11/24,ASIA ADHESIVE MANUFACTURER P/L,EAC,ETHYL ACETATE,1,900KG-IBC,1.10/KG,0,0,0,900,0.9,820,4-Nov,
S/O2410-227,4/11/24,ASIA ADHESIVE MANUFACTURER P/L,HEXANE,HEXANE (BULK),"4,800",KG,1.43/KG,0,0,0,"4,800",4.8,,4-Nov,
S/O2410-227,4/11/24,ASIA ADHESIVE MANUFACTURER P/L,HEXANE,HEXANE,35,137-DR,-/KG,0,0,0,4795,4.795,,4-Nov,
S/O2410-228,29/10/24,PRINTOCHEM LIMITED,EAC,ETHYL ACETATE,30,180-DR,"1,060.00/MT",30,5400,5.4,5400,5.4,840,11/11/24,BANGLA
S/O2410-228,29/10/24,PRINTOCHEM LIMITED,IPA,ISOPROPYL ALCOHOL,50,162-DR,"1,500.00/MT",50,8100,8.1,8100,8.1,1250,11/11/24,BANGLA
S/O2410-229,4/11/24,KOH LEONG PAINT TRADING CO.,P.3040,ALIPAX 3040,4,161-DR,1.56/KG,0,0,0,644,0.644,1076,11-Nov,
S/O2410-229,4/11/24,KOH LEONG PAINT TRADING CO.,BG,BUTYL GLYCOL,1,185-DR,2.10/KG,0,0,0,185,0.185,,4-Nov,
S/O2410-229,4/11/24,KOH LEONG PAINT TRADING CO.,MIBK,METHYL ISOBUTYL KETONE,1,165-DR,2.52/KG,0,0,0,165,0.165,1794,4-Nov,
S/O2410-229,4/11/24,KOH LEONG PAINT TRADING CO.,BAC,N-BUTYL ACETATE,4,180-DR,1.67/KG,0,0,0,720,0.72,,4-Nov,
S/O2410-230,4/11/24,GREIF EASTERN PACKAGING PTE LTD,MIBK,METHYL ISOBUTYL KETONE,1,165-DR,2.30/KG,0,0,0,165,0.165,1630,4-Nov,
S/O2410-231,30/10/24,TECK LEONG KOON KEE,PRO BH,PROP BH (11TINS X 18LTR),154,KG,-/KG,140,140,0.14,154,0.154,,11/11/24,
S/O2410-232,30/10/24,LEA TAT CHEMICALS PTE LTD,ALIPAX D40,ALIPAX D40,5,158-DR,1.34/KG,0,0,0,790,0.79,,4-Nov,
S/O2410-233,4/11/24,LEA TAT CHEMICALS PTE LTD,ALIPAX D40,ALIPAX D40,5,158-DR,1.34/KG,0,0,0,790,0.79,,4-Nov,
S/O2410-234,30/10/24,THE VALSPAR (S) CORP. PTE LTD,EAC,ETHYL ACETATE (120210),8,180-DR,0.94/KG,8,1440,1.44,1440,1.44,861,11/11/24,
S/O2410-235,30/10/24,THE VALSPAR (S) CORP. PTE LTD,MEK,METHYL ETHYL KETONE (BULK),"20,000",KG,1.14/KG,"20,000","20,000",20,"20,000",20,1140,11/11/24,
S/O2410-236,30/10/24,THE VALSPAR (S) CORP. PTE LTD,MEK,METHYL ETHYL KETONE (BULK),"20,000",KG,1.14/KG,"20,000","20,000",20,"20,000",20,1140,11/11/24,
S/O2410-237,30/10/24,THE VALSPAR (S) CORP. PTE LTD,P.150,AROMAX 150 (033113),28,184-DR,1.25/KG,28,5152,5.152,5152,5.152,1172,11/11/24,
S/O2410-238,1/11/24,EQUITCHEM (S) PTE LTD,KERO,KEROSINE,1,1000LTR,1.00/LITRES,0,0,0,1000,1,,4-Nov,
S/O2410-239,1/11/24,AIK MOH PAINTS & CHEMICALS PL,P.100,AROMAX 100,10,180-DR,1.12/KG,0,0,0,1800,1.8,1040,4-Nov,
S/O2410-241,30/10/24,AIK MOH PAINTS & CHEMICALS PL,ACETONE,ACETONE (BULK),"18,000",KG,0.94/KG,"18,000","18,000",18,"18,000",18,940,11/11/24,
S/O2411-002,1/11/24,GRUNTEK INTERNATIONAL (S) PTE LTD,P.100,AROMAX 100,1,895KG-IBC,1.60/KG,0,0,0,895,0.895,1190,4-Nov,
S/O2411-003,1/11/24,"MITSUBISHI MOTORS (THAILAND) CO., LTD.",CEC-RF-02-08 E5 EURO,CEC-RF-02-08 E5 EURO5 (GASOLINE),2,43 KGS,33.00/KG,2,2,0.002,2,0.002,,11/11/24,
S/O2411-003,1/11/24,"MITSUBISHI MOTORS (THAILAND) CO., LTD.",GASOLINE EURO-6 CERT,GASOLINE EURO-6 CERT FUEL E10,3,43 KGS,33.00/KG,3,3,0.003,3,0.003,,11/11/24,
S/O2411-004,1/11/24,THE VALSPAR (S) CORP. PTE LTD,BG,BUTYL GLYCOL,"20,000",KG,0.94/KG,"20,000","20,000",20,"20,000",20,,11/11/24,
S/O2411-005,1/11/24,THE VALSPAR (S) CORP. PTE LTD,BG,BUTYL GLYCOL (BULK),"20,000",KG,1.28/KG,"20,000","20,000",20,"20,000",20,,11/11/24,
S/O2411-006,1/11/24,THE VALSPAR (S) CORP. PTE LTD,BG,BUTYL GLYCOL (BULK),"20,000",KG,1.28/KG,"20,000","20,000",20,"20,000",20,,11/11/24,
S/O2411-007,1/11/24,THE VALSPAR (S) CORP. PTE LTD,BG,BUTYL GLYCOL (BULK),"20,000",KG,1.28/KG,"20,000","20,000",20,"20,000",20,,11/11/24,
S/O2411-008,1/11/24,INTERCHEM MANUFACTURING PTE LTD,XYLENE,XYLENE - BULK ,"17,000",KG,1.23/KG,"17,000","17,000",17,"17,000",17,918,11/11/24,
S/O2411-009,4/11/24,ALPHA ASSEMBLY SOLUTIONS,ACETONE,ACETONE (803001),8,160-DR,1.15/KG,0,0,0,1280,1.28,1060,4-Nov,
S/O2411-010,1/11/24,AIK MOH PAINTS & CHEMICALS PL,EAC,ETHYL ACETATE,50,180-DR,0.915/KG,50,9000,9,9000,9,835,11/11/24,
S/O2411-011,1/11/24,3M INNOVATION SINGAPORE PTE LTD,MEK,METHYL ETHYL KETONE,320,0,0,0,320,0.32,320,0.32,,11/11/24,
S/O2411-011,1/11/24,3M INNOVATION SINGAPORE PTE LTD,3M THINNER 1,3M THINNER 1,4,160-DR,-/KGS,4,640,0.64,640,0.64,,11/11/24,
S/O2411-011,1/11/24,3M INNOVATION SINGAPORE PTE LTD,MIBK,METHYL ISOBUTYL KETONE,320,0,0,0,320,0.32,320,0.32,,11/11/24,
S/O2411-012,11/11/24,ADVANCE AND SHARE,MIBK,METHYL ISOBUTYL KETONE,1,165-DR,2.64/KG SGD,0,0,0,165,0.165,1880,11/11/24,
S/O2411-012,11/11/24,ADVANCE AND SHARE,P.100,AROMAX 100,1,180-DR,1.63/KG ,0,0,0,180,0.18,1140,11/11/24,
S/O2411-012,11/11/24,ADVANCE AND SHARE,PMA-B,PMA (B),1,200-DR,1.75/KG,0,0,0,200,0.2,,11/11/24,
S/O2411-012,11/11/24,ADVANCE AND SHARE,BAC,,1,180-DR,1.68/KG,0,0,0,180,0.18,,11/11/24,
S/O2411-013,11/11/24,REDOX CHEMICAL,ALIPAX D80E,,12,160-DR,1.95,0,0,0,1920,1.92,,11/11/24,
S/O2411-013,11/11/24,REDOX CHEMICAL,ALIPAX D40,,2,158-DR,1.92,0,0,0,316,0.316,,11/11/24,
S/O2411-014,11/11/24,FOCUS PAINT,P.3040,ALIPAX 3040,1,770 KG-IBC,1.26,0,0,0,770,0.77,940,11/11/24,
S/O2411-014,11/11/24,FOCUS PAINT,TOL,,1,895KG-IBC,1.18,0,0,0,895,0.895,,11/11/24,
S/O2411-015,11/11/24,RICHILL PTE LTD,PMA-B,,30,200-DR,1.23,0,0,0,6000,6,,11/11/24,AUS/NZ
S/O2411-016,11/11/24,GRAMOND PTE. LTD.,P.150,,3,184-DR,1.66,0,0,0,552,0.552,1164,11/11/24,
S/O2411-016,11/11/24,GRAMOND PTE. LTD.,ACETONE,,1,160-DR,1.46,0,0,0,160,0.16,,11/11/24,
S/O2411-016,11/11/24,GRAMOND PTE. LTD.,IPA,,1,162-DR,1.76,0,0,0,162,0.162,1220,11/11/24,
S/O2411-017,11/11/24,CRAMOIL SINGAPORE PTE LTD,P.150,,3,881 KG-IBC,1.55,0,0,0,2643,2.643,1156,11/11/24,
S/O2411-018,11/11/24,CHIN WAN PAINTS PTE LTD,TOL,,10000,KG,1.25,0,0,0,10000,10,,11/11/24,
S/O2411-019,11/11/24,CHEMTECH TRADING PTE. LTD.,ALIPAX D80E,,8,160-DR,1.9,0,0,0,1280,1.28,,11/11/24,
S/O2411-019,11/11/24,CHEMTECH TRADING PTE. LTD.,ALIPAX D40,,4,158-DR,1.8,0,0,0,632,0.632,,11/11/24,
S/O2411-024,5/11/24,JACKWAY CONVERTOR IND. PTE LTD,MEK,METHYL ETHYL KETONE,2000,0,0,0,2000,2,2000,2,1170,11/11/24,
S/O2411-024,5/11/24,JACKWAY CONVERTOR IND. PTE LTD,THINNER LAMISTAR(JW),LAMISTAR 5050 - (BUFFER STOCK),5,800KG-IBC,-/KG,5,4000,4,4000,4,,11/11/24,
S/O2411-024,5/11/24,JACKWAY CONVERTOR IND. PTE LTD,TOL,TOLUENE,2000,0,0,0,2000,2,2000,2,,11/11/24,
S/O2411-025,5/11/24,TMK PACKERS LIMITED,THINNER 555,THINNER UNIVERSAL SOLVENT,40,167-DR,1.20/KG,40,6680,6.68,6680,6.68,,11/11/24,AUS/NZ
S/O2411-025,5/11/24,TMK PACKERS LIMITED,ACETONE,ACETONE,1080,0,0,0,1080,1.08,1080,1.08,,11/11/24,AUS/NZ
S/O2411-025,5/11/24,TMK PACKERS LIMITED,MIBK,METHYL ISOBUTYL KETONE,320,0,0,0,320,0.32,320,0.32,1570,11/11/24,AUS/NZ
S/O2411-025,5/11/24,TMK PACKERS LIMITED,IPA,ISOPROPYL ALCOHOL,480,0,0,0,480,0.48,480,0.48,,11/11/24,AUS/NZ
S/O2411-025,5/11/24,TMK PACKERS LIMITED,P1425,ALIPAX 1425,1240,0,0,0,1240,1.24,1240,1.24,,11/11/24,AUS/NZ
S/O2411-025,5/11/24,TMK PACKERS LIMITED,TOL,TOLUENE,3560,0,0,0,3560,3.56,3560,3.56,,11/11/24,AUS/NZ
S/O2411-025,5/11/24,TMK PACKERS LIMITED,MINERAL TURPENTINE,MINERAL TURPENTINE,40,162-DR,"1,130.00/MT",40,6480,6.48,6480,6.48,,11/11/24,AUS/NZ
S/O2411-025,5/11/24,TMK PACKERS LIMITED,P.100,AROMAX 100,2160,0,0,0,2160,2.16,2160,2.16,1100,11/11/24,AUS/NZ
S/O2411-025,5/11/24,TMK PACKERS LIMITED,P.3040,ALIPAX 3040,4320,0,0,0,4320,4.32,4320,4.32,920,11/11/24,AUS/NZ
S/O2411-026,5/11/24,BENGAL ADHESIVE AND CHEMICAL PRODUCTS LTD,ACETONE,ACETONE = 12800 KGS =,80,160-DR,"1,160.00/MT-USD",80,12800,12.8,12800,12.8,1042,11/11/24,BANGLA
S/O2411-028,7/11/24,JACKWAY CONVERTOR IND. PTE LTD,MEK,METHYL ETHYL KETONE,800,0,0,0,800,0.8,800,0.8,1170,11/11/24,
S/O2411-028,7/11/24,JACKWAY CONVERTOR IND. PTE LTD,THINNER-532(JW)(IBC),OPP 532 - BUFFER STOCK ,5,800KG-IBC,-/KG,5,4000,4,4000,4,,11/11/24,
S/O2411-028,7/11/24,JACKWAY CONVERTOR IND. PTE LTD,TOL,TOLUENE,2000,0,0,0,2000,2,2000,2,,11/11/24,
S/O2411-028,7/11/24,JACKWAY CONVERTOR IND. PTE LTD,EAC,ETHYL ACETATE,1200,0,0,0,1200,1.2,1200,1.2,,11/11/24,
S/O2411-029,11/11/24,A.I.M CHEMICAL INDUSTRIES PTE LTD,P.150,,3,881 KG-IBC,1.55,0,0,0,2643,2.643,1156,11/11/24,
S/O2411-030,12/11/24,BERGER PAINTS,XYLENE,,6000,KG,1.24,0,0,0,6000,6,925,11/11/24,
S/O2411-031,13/11/24,NIPO INTERNATIONAL,KERO,,1800,L,1.10/L,0,0,0,1800,1.8,,11/11/24,
S/O2411-032,5/11/24,LEA TAT CHEMICALS PTE LTD,TOL,TOLUENE/MCH  - Bulk ,"20,000",KG,760.00/MT,"20,000","20,000",20,"20,000",20,,11/11/24,
S/O2411-034,6/11/24,MAUSER SINGAPORE PTE LTD,ISOMER XYLENE,XYLENE - CUSTOMER DRUMS,20,179-DR,1.23/KG,20,3580,3.58,3580,3.58,,11/11/24,
S/O2411-034,6/11/24,MAUSER SINGAPORE PTE LTD,XYLENE,XYLENE - CUSTOMER DRUMS,28,179-DR,1.23/KG,28,5012,5.012,5012,5.012,918,11/11/24,
S/O2411-035,6/11/24,TIPPS PTE LTD,TOL,TOLUENE - IBC ON LOAN ,3,895KG-IBC,1.25/KG,3,2685,2.685,2685,2.685,,11/11/24,
S/O2411-036,7/11/24,SHINCHEM SOLUTIONS PTE LTD,ALIPAX D40,ALIPAX D40,3,158-DR,1.90/KG,3,474,0.474,474,0.474,,11/11/24,
S/O2411-036,7/11/24,SHINCHEM SOLUTIONS PTE LTD,P1425,ALIPAX 1425,2,143-DR,1.68/KG,2,286,0.286,286,0.286,,11/11/24,
S/O2411-036,7/11/24,SHINCHEM SOLUTIONS PTE LTD,ALIPAX D60,ALIPAX D60,2,156-DR,2.00/KG,2,312,0.312,312,0.312,,11/11/24,
S/O2411-036,7/11/24,SHINCHEM SOLUTIONS PTE LTD,ALIPAX D60,ALIPAX D60,1,760 KG-IBC,1.82/KG,1,760,0.76,760,0.76,,11/11/24,
S/O2411-038,13/11/24,BERGER PAINTS,ISOBUTANOL,,10,165-DR,1.65,0,0,0,1650,1.65,,11/11/24,
S/O2411-038,13/11/24,BERGER PAINTS,P.100,AROMAX 100,3,180-DR,1.52,0,0,0,540,0.54,1055,11/11/24,
S/O2411-038,13/11/24,BERGER PAINTS,MIBK,,3,165-DR,2.3,0,0,0,495,0.495,1630,11/11/24,
S/O2411-039,13/11/24,CHEMLEX (F.E.) PTE LTD,ALIPAX D80E,,2,160-DR,1.8,0,0,0,320,0.32,,11/11/24,
S/O2411-040,13/11/24,BERGER PAINTS,P.3040,ALIPAX 3040,7000,KG,1.19,0,0,0,7000,7,890,11/11/24,
S/O2411-041,11/11/24,EQUITCHEM (S) PTE LTD,KERO,KEROSINE,1,1000LTR,1.00/LITRES,1,1000,1,1000,1,,11/11/24,
S/O2411-042,7/11/24,LEA TAT CHEMICALS PTE LTD,TOL,TOLUENE - Customer Drum,300,179-DR,895.00/MT,300,53700,53.7,53700,53.7,895,11/11/24,
S/O2411-043,13/11/24,STARCOAT,XYLENE,,2,179-DR,1.38,0,0,0,358,0.358,940,11/11/24,
S/O2411-043,5/11/24,STARCOAT,TOL,,3,179-DR,1.38,0,0,0,537,0.537,940,11/11/24,
S/O2411-044,7/11/24,VANCE CHEMICALS PTE LTD,ALIPAX D100,ALIPAX D100,1,164-DR,1.98/KG,1,164,0.164,164,0.164,,11/11/24,
S/O2411-044,7/11/24,VANCE CHEMICALS PTE LTD,ALIPAX D100,ALIPAX D100,31,164-DR,1.98/KG,31,5084,5.084,5084,5.084,,11/11/24,
S/O2411-045,18/11/24,EVONIK (SEA) PTE. LTD.-DIVISION PMD,IPA,ISOPROPYL ALCOHOL (BULK),"4,500",KG,1.18/KG,"4,500","4,500",4.5,"4,500",4.5,1180,11/11/24,
S/O2411-045,18/11/24,EVONIK (SEA) PTE. LTD.-DIVISION PMD,IPA,ISOPROPYL ALCOHOL,3,776KG-IBC,-/KG,3,2328,2.328,2328,2.328,,11/11/24,
S/O2411-045,18/11/24,EVONIK (SEA) PTE. LTD.-DIVISION PMD,IPA,ISOPROPYL ALCOHOL,13,162-DR,-/KG,13,2106,2.106,2106,2.106,,11/11/24,
S/O2411-046,15/11/24,3M INNOVATION SINGAPORE PTE LTD,IPA,ISOPROPYL ALCOHOL (1010126633),10,162-DR,1.83/KG,10,1620,1.62,1620,1.62,1276,11/11/24,
S/O2411-047,14/11/24,SKYCHEM PTE LTD,HEXANE,HEXANE,8,137-DR,1.25/KG,8,1096,1.096,1096,1.096,,11/11/24,
S/O2411-048,13/11/24,JACKWAY CONVERTOR IND. PTE LTD,EAC,,2,900KG-IBC,1.11,0,0,0,1800,1.8,830,11/11/24,
S/O2411-049,7/11/24,CHUGOKU MARINE PAINTS (S) P/L,XYLENE,XYLENE (BULK),"9,500",KG,1.23/KG,"9,500","9,500",9.5,"9,500",9.5,918,11/11/24,
S/O2411-050,7/11/24,CHUGOKU MARINE PAINTS (S) P/L,BAC,N-BUTYL ACETATE,20,180-DR,1.44/KG,20,3600,3.6,3600,3.6,,11/11/24,
S/O2411-050,7/11/24,CHUGOKU MARINE PAINTS (S) P/L,PM,PROPYLENE GLYCOL MONOMETHYL ETHER (PM),20,190-DR,1.56/KG,20,3800,3.8,3800,3.8,,11/11/24,
S/O2411-050,7/11/24,CHUGOKU MARINE PAINTS (S) P/L,PMA-B,PMA (B),20,200-DR,1.60/KG,20,4000,4,4000,4,,11/11/24,
S/O2411-051,7/11/24,THE VALSPAR (S) CORP. PTE LTD,PM,PROPYLENE GLYCOL MONOMETHYL ETHER (PM),5,190-DR,1.23/KG,5,950,0.95,950,0.95,,11/11/24,
S/O2411-052,7/11/24,TMK PACKERS LIMITED,ACETONE,"ACETONE = 12,800 KGS =",80,160-DR,"1,100.00/MT",80,12800,12.8,12800,12.8,966,11/11/24,AUS/NZ
S/O2411-053,11/11/24,ALPHA ASSEMBLY SOLUTIONS,ACETONE,ACETONE (803001) (NEW DRUM),12,160-DR,1.15/KG,12,1920,1.92,1920,1.92,1060,11/11/24,
S/O2411-054,7/11/24,DIC LANKA (PVT) LTD,NPROPANO,N-PROPANOL,80,165-DR,"1,490.00/MT",80,13200,13.2,13200,13.2,,11/11/24,SRI LANKA
S/O2411-055,7/11/24,DIC LANKA (PVT) LTD,IPA,ISOPROPYL ALCOHOL,80,162-DR,"1,435.00/MT",80,12960,12.96,12960,12.96,1164,11/11/24,SRI LANKA
S/O2411-056,13/11/24,NIPPON PAINT (SINGAPORE) CO PL,P.3040,ALIPAX 3040 - IBC ON LOAN ,4,770 KG-IBC,1.24/KG,4,3080,3.08,3080,3.08,925,11/11/24,
S/O2411-057,8/11/24,GIVAUDAN SINGAPORE PTE LTD,EAC,ETHYL ACETATE,14,180-DR,1.97/KG,14,2520,2.52,2520,2.52,1390,11/11/24,
S/O2411-058,8/11/24,TMK PACKERS LIMITED,ALIPAX D40,ALIPAX D40,12,158-DR,214.88/DRUMS,12,1896,1.896,1896,1.896,1235,11/11/24,AUS/NZ
S/O2411-058,8/11/24,TMK PACKERS LIMITED,ISOBUTANOL,ISO-BUTANOL,12,165-DR,221.10/DRUMS,12,1980,1.98,1980,1.98,1160,11/11/24,AUS/NZ
S/O2411-058,8/11/24,TMK PACKERS LIMITED,MIBK,METHYL ISOBUTYL KETONE,40,165-DR,278.85/DRUMS,40,6600,6.6,6600,6.6,1570,11/11/24,AUS/NZ
S/O2411-058,8/11/24,TMK PACKERS LIMITED,BAC,N-BUTYL ACETATE,16,180-DR,207.00/DRUMS,16,2880,2.88,2880,2.88,1039,11/11/24,AUS/NZ
S/O2411-058,8/11/24,TMK PACKERS LIMITED,TOL,TOLUENE,80,179-DR,184.37/DRUMS,80,14320,14.32,14320,14.32,918,11/11/24,AUS/NZ
S/O2411-059,5/11/24,HAS INDUSTRIES PTE LTD,TOL,TOLUENE,2,895KG-IBC,1.24/KG,2,1790,1.79,1790,1.79,,11/11/24,
S/O2411-060,8/11/24,VANCE CHEMICALS PTE LTD,P1425,ALIPAX 1425,12,143-DR,1.66/KG,12,1716,1.716,1716,1.716,,11/11/24,
S/O2411-061,8/11/24,JACKWAY CONVERTOR IND. PTE LTD,MEK,METHYL ETHYL KETONE,320,0,0,0,320,0.32,320,0.32,1170,11/11/24,
S/O2411-061,8/11/24,JACKWAY CONVERTOR IND. PTE LTD,MEK,METHYL ETHYL KETONE,4000,0,0,0,4000,4,4000,4,1170,11/11/24,
S/O2411-061,8/11/24,JACKWAY CONVERTOR IND. PTE LTD,EAC,ETHYL ACETATE - IBC ON LOAN,7,800KG-IBC,1.11/KG,7,5600,5.6,5600,5.6,830,11/11/24,
S/O2411-061,8/11/24,JACKWAY CONVERTOR IND. PTE LTD,THINNER-532(JW)(IBC),OPP 532 ,2,800KG-IBC,1.27/KG,2,1600,1.6,1600,1.6,,11/11/24,
S/O2411-061,8/11/24,JACKWAY CONVERTOR IND. PTE LTD,TOL,TOLUENE,800,0,0,0,800,0.8,800,0.8,,11/11/24,
S/O2411-061,8/11/24,JACKWAY CONVERTOR IND. PTE LTD,EAC,ETHYL ACETATE,480,0,0,0,480,0.48,480,0.48,,11/11/24,
S/O2411-061,8/11/24,JACKWAY CONVERTOR IND. PTE LTD,THINNER LAMISTAR(JW),LAMISTAR 5050,10,800KG-IBC,1.40/KG,10,8000,8,8000,8,,11/11/24,
S/O2411-061,8/11/24,JACKWAY CONVERTOR IND. PTE LTD,TOL,TOLUENE,4000,0,0,0,4000,4,4000,4,,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,MEK,METHYL ETHYL KETONE,720,0,0,0,720,0.72,720,0.72,1180,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,MEK,METHYL ETHYL KETONE,960,0,0,0,960,0.96,960,0.96,1180,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,THINNER TAF C,THINNER TAF C - IBC ON LOAN ,3,800KG-IBC,1.01/KG,3,2400,2.4,2400,2.4,,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,TOL,TOLUENE,1440,0,0,0,1440,1.44,1440,1.44,,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,EAC,ETHYL ACETATE,240,0,0,0,240,0.24,240,0.24,,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,THINNER SOLVENT-13,THINNER SOLVENT-13 - IBC ON LOAN ,6,800KG-IBC,1.05/KG,6,4800,4.8,4800,4.8,,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,TOL,TOLUENE,2400,0,0,0,2400,2.4,2400,2.4,,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,EAC,ETHYL ACETATE,960,0,0,0,960,0.96,960,0.96,,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,IPA,ISOPROPYL ALCOHOL,480,0,0,0,480,0.48,480,0.48,,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,EAC,ETHYL ACETATE - IBC ON LOAN,3,900KG-IBC,0.82/KG,3,2700,2.7,2700,2.7,820,11/11/24,
S/O2411-062,8/11/24,SUPERIOR MULTI-PACKAGING LIMITED,METHANOL,METHANOL - IBC ON LOAN ,2,815KG-IBC,0.40/KG,2,1630,1.63,1630,1.63,,11/11/24,
S/O2411-063,18/11/24,TAI SENG PAINT PTE LTD,P.150,AROMAX 150,1220,0,0,0,1220,1.22,1220,1.22,,11/11/24,
S/O2411-063,18/11/24,TAI SENG PAINT PTE LTD,THINNER SV,SV THINNER - Customer Drum ,20,175-DR,1.38/KG,20,3500,3.5,3500,3.5,,11/11/24,
S/O2411-063,18/11/24,TAI SENG PAINT PTE LTD,N-BUTANOL,N-BUTANOL,1100,0,0,0,1100,1.1,1100,1.1,,11/11/24,
S/O2411-063,18/11/24,TAI SENG PAINT PTE LTD,XYLENE,XYLENE,1180,0,0,0,1180,1.18,1180,1.18,,11/11/24,
S/O2411-064,11/11/24,A.I.M CHEMICAL INDUSTRIES PTE LTD,P.150,AROMAX 150 - IBC ON LOAN ,2,881 KG-IBC,1.50/KG,2,1762,1.762,1762,1.762,1120,11/11/24,
,,,,,,,,0,0,0,,,,,